,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000119929,166.0131247,0.034735572,0.158695138,0.803339336,0.904553879
ENSG00000119938,3620.809768,-0.390719814,0.134933309,0.001451621,0.008441946
ENSG00000119943,228.0242014,-0.489556154,0.171596802,0.001068763,0.006478156
ENSG00000119946,62.17686915,0.25904427,0.245509187,0.138944353,0.315231782
ENSG00000119950,1564.67735,0.144396577,0.118963262,0.188134351,0.387589018
ENSG00000119953,616.9701726,0.28994031,0.117042043,0.007577182,0.033804007
ENSG00000119965,177.7527459,-0.025327188,0.140186609,0.83970669,0.923632836
ENSG00000119969,78.23373907,-0.197944535,0.202024171,0.214371281,0.421479183
ENSG00000119977,2169.962465,-0.407505306,0.107338226,5.49E-05,0.000471513
ENSG00000119979,1462.860688,0.263341768,0.091505187,0.002558799,0.013654605
ENSG00000119986,686.383037,0.10132471,0.137917406,0.424734321,0.642560692
ENSG00000120008,2027.17586,0.17702212,0.085428594,0.030955518,0.103534416
ENSG00000120029,617.8161215,0.061557565,0.097945363,0.507393161,0.710190064
ENSG00000120049,21.49162405,-0.1300836,0.270601983,0.416088739,0.634980111
ENSG00000120051,17.14073207,0.09704971,0.276150648,0.517569025,0.717951817
ENSG00000120053,346.7973667,0.026908157,0.115200509,0.802673597,0.904035237
ENSG00000120063,1158.201194,0.055138766,0.099408737,0.566736098,0.757717899
ENSG00000120068,7.786917325,-0.044293039,0.297036827,0.684760167,0.836531449
ENSG00000120071,1003.749456,-0.047497114,0.095757025,0.592878662,0.775795496
ENSG00000120075,71.88759537,-0.082754416,0.202708231,0.595771997,0.778047848
ENSG00000120093,846.3811425,-0.090179227,0.108201313,0.372477091,0.593018976
ENSG00000120129,3412.966367,2.935888932,0.122800836,2.20E-128,1.22E-124
ENSG00000120137,999.4790231,-0.069492268,0.088055706,0.411176938,0.630965554
ENSG00000120149,162.3063964,-0.968503671,0.18887102,2.90E-08,4.77E-07
ENSG00000120156,212.8470724,-0.28335067,0.163839843,0.044871016,0.137318713
ENSG00000120158,95.19223102,0.089826466,0.170209972,0.528735697,0.727965624
ENSG00000120159,242.1037837,-0.089242924,0.129228224,0.448138255,0.662215579
ENSG00000120162,60.73567003,2.641548158,0.307848711,5.71E-19,3.19E-17
ENSG00000120215,8.31831622,0.004269467,0.283219386,0.97483173,0.987380248
ENSG00000120217,117.0213339,-0.677881012,0.236552484,0.000543188,0.003616027
ENSG00000120253,468.1776766,-0.002466393,0.105923711,0.980236391,0.989975725
ENSG00000120254,1423.997449,-0.570052295,0.154362478,4.20E-05,0.000369767
ENSG00000120256,977.4300564,-0.111282709,0.101024908,0.243182126,0.457475692
ENSG00000120262,109.2428501,0.215286796,0.202623039,0.176801599,0.37264406
ENSG00000120265,1022.892483,0.283870906,0.102532869,0.003340297,0.017082523
ENSG00000120278,484.5044061,-0.462665211,0.114503208,1.67E-05,0.000163073
ENSG00000120306,509.8012973,0.169972082,0.106415649,0.089731642,0.229140842
ENSG00000120314,443.3974825,0.008282174,0.106471541,0.936488207,0.970445372
ENSG00000120318,301.840451,-0.526108069,0.134275745,2.25E-05,0.000214056
ENSG00000120322,44.33548246,-0.284305908,0.259324554,0.117016573,0.278701261
ENSG00000120324,89.25735562,-0.19271591,0.187801571,0.207669246,0.412504944
ENSG00000120327,96.71410444,-0.209858042,0.186473832,0.170563198,0.364254375
ENSG00000120328,17.57721127,-0.18441403,0.296092289,0.267035905,0.486011869
ENSG00000120333,415.3199092,-0.059785409,0.109147579,0.562790379,0.755363456
ENSG00000120334,96.8258107,-0.23988447,0.194667759,0.127265244,0.296475856
ENSG00000120370,327.9634913,-0.451472953,0.127396148,0.000125318,0.000987546
ENSG00000120437,130.7191497,0.214952886,0.169485469,0.137412295,0.313039732
ENSG00000120438,2511.473816,0.093939732,0.081933181,0.234573046,0.446680033
ENSG00000120451,3400.400142,0.034504521,0.085470528,0.668348553,0.826133046
ENSG00000120458,184.9672973,-0.128300575,0.145843547,0.320980502,0.544005397
ENSG00000120500,10.68540614,-0.0412528,0.284124441,0.749171472,0.874565293
ENSG00000120509,556.2961029,-0.084433911,0.109233523,0.409160635,0.629076993
ENSG00000120519,120.844583,0.078032905,0.165219209,0.583965493,0.769410235
ENSG00000120526,244.500866,0.581756209,0.138249828,5.43E-06,5.88E-05
ENSG00000120533,641.0458464,0.13259119,0.100065459,0.166250106,0.357974719
ENSG00000120539,206.4087813,0.098571585,0.142300683,0.438617211,0.65461252
ENSG00000120549,51.58150429,-0.951835452,0.324579126,0.000263187,0.001914881
ENSG00000120594,1174.355155,0.320296381,0.430409153,0.066931905,0.184807415
ENSG00000120616,385.3234338,-0.061771027,0.111720493,0.55337673,0.747747941
ENSG00000120645,9.778919091,-0.125135167,0.305885293,0.366253712,0.586316832
ENSG00000120647,131.3654763,-0.115583824,0.156809886,0.396764251,0.617296289
ENSG00000120656,465.7712975,-0.148350246,0.111874531,0.156613113,0.342444167
ENSG00000120658,254.7349761,0.044187232,0.203798075,0.774352283,0.889690621
ENSG00000120662,147.3568592,0.035308304,0.155463185,0.792603738,0.898930612
ENSG00000120675,564.3762959,0.287795464,0.112900468,0.006256385,0.028954534
ENSG00000120685,505.5640235,-0.029600202,0.102215344,0.754027673,0.877312609
ENSG00000120686,1899.820725,0.071925681,0.08308603,0.369096724,0.589163146
ENSG00000120688,385.7235428,0.305021483,0.119503923,0.005893034,0.027549519
ENSG00000120690,1385.634677,0.896136682,0.09624516,1.34E-21,9.53E-20
ENSG00000120693,439.7421336,-0.269072695,0.110047996,0.008900093,0.038434996
ENSG00000120694,1233.313798,-0.18455282,0.115044807,0.083615871,0.217335787
ENSG00000120696,172.0375681,-0.434345936,0.160325614,0.002170419,0.011856572
ENSG00000120697,472.653641,0.263360309,0.10651883,0.008568275,0.037322597
ENSG00000120699,220.209725,-0.132989946,0.133853127,0.271863933,0.49234572
ENSG00000120705,2918.073977,0.274571291,0.084932132,0.000774052,0.004912491
ENSG00000120708,11252.01881,-0.418972932,0.115853819,0.000105209,0.000846367
ENSG00000120709,1064.42485,-0.045082051,0.09156753,0.608613338,0.787277194
ENSG00000120725,725.518487,-0.101405009,0.105896692,0.306085004,0.529034236
ENSG00000120727,559.4747811,0.178551125,0.111528039,0.086328271,0.222469563
ENSG00000120733,1923.190045,0.028872704,0.085747037,0.725155243,0.862082838
ENSG00000120738,668.1249837,-0.570683368,0.490253141,0.01923901,0.071413689
ENSG00000120742,1901.988172,-0.023586552,0.105147754,0.806370102,0.906476902
ENSG00000120784,212.711119,0.141857501,0.146749153,0.272398881,0.492642424
ENSG00000120798,485.9290008,0.104579052,0.118208078,0.33969955,0.561799077
ENSG00000120800,822.3465002,0.482774139,0.141961959,0.000189528,0.001425845
ENSG00000120802,459.6275768,-0.357595032,0.127470897,0.002244189,0.01221133
ENSG00000120805,2228.483262,-0.17571196,0.095345709,0.053949036,0.15801945
ENSG00000120820,970.0989799,-0.358939886,0.094819722,7.21E-05,0.000603772
ENSG00000120832,232.054968,0.415933284,0.148975879,0.001800368,0.010128463
ENSG00000120833,89.94640622,-0.115711289,0.177949238,0.439258802,0.654852126
ENSG00000120837,1844.666996,1.018583496,0.101684281,1.34E-24,1.24E-22
ENSG00000120860,852.6637594,-0.046009557,0.104092863,0.637920892,0.807185961
ENSG00000120868,502.1661613,0.084297824,0.105742328,0.390394741,0.610978929
ENSG00000120885,14697.57272,-0.172256734,0.097287444,0.056885029,0.163810206
ENSG00000120889,2450.087287,-0.305532146,0.09589318,0.000814829,0.005126192
ENSG00000120896,3053.104845,0.402511829,0.092817394,5.74E-06,6.18E-05
ENSG00000120899,392.0724118,0.928415708,0.187543119,6.42E-08,9.90E-07
ENSG00000120910,343.0949084,0.312944024,0.160206559,0.024464744,0.086386572
ENSG00000120913,1068.116272,0.116579094,0.137465273,0.343872263,0.565668678
ENSG00000120915,39.00903403,-0.271025975,0.258650144,0.132892846,0.305850738
ENSG00000120925,609.449264,0.093402512,0.099277648,0.320181667,0.543104552
ENSG00000120942,285.6017274,0.651142556,0.151344498,2.83E-06,3.24E-05
ENSG00000120948,2557.212838,-0.198049155,0.077591365,0.00899564,0.038778591
ENSG00000120963,714.5050779,-0.148050853,0.099898471,0.118025226,0.280662939
ENSG00000120992,452.0919019,0.267577391,0.132629008,0.025748623,0.089661873
ENSG00000121005,9.098786421,0.044584515,0.296335208,0.713647637,0.854523534
ENSG00000121022,667.706268,-0.117900759,0.099712147,0.214545512,0.421712001
ENSG00000121039,7686.049887,-0.070177942,0.21596472,0.652343634,0.816462666
ENSG00000121057,407.2569047,0.155894115,0.125790778,0.17635984,0.371901894
ENSG00000121058,276.5510849,0.030039039,0.129353896,0.802183317,0.903737572
ENSG00000121060,1436.532487,0.00176775,0.088874879,0.996201361,0.99794518
ENSG00000121064,2720.576381,-0.084511232,0.095930749,0.351694274,0.572788829
ENSG00000121067,912.4221774,0.035540255,0.095268948,0.697603457,0.845381919
ENSG00000121068,3150.406187,0.249638897,0.080579814,0.001139054,0.006856637
ENSG00000121073,481.9785283,0.152967709,0.117843636,0.161011254,0.349619622
ENSG00000121075,676.5827851,0.145125896,0.10425663,0.138009056,0.314018796
ENSG00000121089,17.59676063,-0.032174146,0.259999219,0.82852403,0.918536927
ENSG00000121104,148.0196217,-0.432595649,0.168352913,0.003253586,0.016727547
ENSG00000121152,11.79479926,0.081899388,0.281269055,0.570196245,0.75983434
ENSG00000121207,17.76731791,-0.130235222,0.294937457,0.384198324,0.604546827
ENSG00000121210,436.2184232,-0.585696599,0.119166077,1.96E-07,2.78E-06
ENSG00000121236,101.3578259,-0.186838661,0.172622933,0.199074336,0.401454108
ENSG00000121274,333.1404466,0.14919443,0.136887469,0.225289895,0.435111264
ENSG00000121281,125.1511058,-0.105320936,0.174266402,0.467806834,0.67858773
ENSG00000121289,422.3367366,0.041227402,0.112245704,0.691038766,0.84030476
ENSG00000121297,867.6337223,-0.221229192,0.101369396,0.020761946,0.075662112
ENSG00000121310,935.348763,-0.232216286,0.113196562,0.027267255,0.093555378
ENSG00000121316,37.91668587,-0.130789988,0.231039676,0.425469223,0.643262023
ENSG00000121350,152.2074102,0.117431115,0.160659205,0.381688543,0.601853022
ENSG00000121361,169.4936345,0.677927574,0.19786929,8.93E-05,0.000729375
ENSG00000121390,600.3628708,0.029927262,0.114897247,0.770578422,0.887205077
ENSG00000121406,129.0347513,-0.292262581,0.175637018,0.049519373,0.148236566
ENSG00000121413,312.9825716,-0.116706558,0.122656824,0.302560245,0.524964958
ENSG00000121417,193.3382464,-0.484208054,0.162695806,0.000790906,0.004994625
ENSG00000121440,2710.202566,-0.046074455,0.112104697,0.656052995,0.818529433
ENSG00000121454,71.3931201,-0.668272891,0.268613716,0.001689253,0.0095944
ENSG00000121481,329.471692,-0.214830332,0.122273945,0.056332372,0.162931021
ENSG00000121486,515.9923728,-0.12689067,0.105380603,0.201505499,0.404731971
ENSG00000121542,214.3230386,-0.144024704,0.138227035,0.246471105,0.461912671
ENSG00000121552,66.65063735,-0.248650291,0.230037951,0.145353154,0.325631876
ENSG00000121577,12.75437927,-0.107658179,0.28919605,0.455772518,0.669202929
ENSG00000121578,449.3085413,0.113142843,0.108876021,0.268578533,0.487939719
ENSG00000121579,2535.749622,0.035206276,0.092619805,0.699362128,0.846518407
ENSG00000121621,31.85101632,-1.414248083,0.414544807,3.24E-05,0.000295724
ENSG00000121644,1431.353964,0.194354771,0.089196499,0.022623083,0.081214078
ENSG00000121653,214.3339333,-0.661709824,0.163743168,8.64E-06,8.94E-05
ENSG00000121671,551.4369604,-0.164704328,0.115593047,0.123676198,0.29054044
ENSG00000121680,265.6371469,0.26054698,0.127647729,0.024380232,0.086161486
ENSG00000121690,91.81095141,-0.526594864,0.216378429,0.003148246,0.016261528
ENSG00000121691,2099.898469,0.710435343,0.128687654,4.50E-09,8.39E-08
ENSG00000121716,16.14028752,0.308296223,0.372902091,0.102842695,0.253456692
ENSG00000121741,1512.121764,0.035711158,0.090903556,0.681383245,0.834926991
ENSG00000121743,110.2934084,-0.467052544,0.354985574,0.028559775,0.097146552
ENSG00000121749,1017.7919,0.07302107,0.107537994,0.470953327,0.681387833
ENSG00000121753,509.6260747,-0.618871342,0.121640969,7.01E-08,1.07E-06
ENSG00000121766,352.6138973,-0.08612206,0.119616741,0.43615373,0.652696781
ENSG00000121769,88.05603988,-0.558044021,0.225866573,0.002603393,0.01386377
ENSG00000121774,1959.572627,-0.19157905,0.103710651,0.049468133,0.148136619
ENSG00000121775,254.6627614,-0.148469392,0.127756083,0.201892832,0.405226022
ENSG00000121848,1779.281927,0.219220888,0.098008768,0.018318605,0.068611052
ENSG00000121851,554.9581219,0.2109091,0.110339186,0.041075237,0.128498517
ENSG00000121858,247.9084444,-0.994376971,0.157550248,2.64E-11,6.30E-10
ENSG00000121864,378.0866674,-0.029133915,0.110842097,0.777745126,0.891460606
ENSG00000121879,1072.261351,0.550339612,0.121532154,1.39E-06,1.69E-05
ENSG00000121892,2494.462259,0.222546812,0.085018156,0.006434612,0.029605993
ENSG00000121897,120.5429257,-0.315752157,0.182725556,0.04023135,0.126526336
ENSG00000121898,2723.086212,-0.079494688,0.109938309,0.425073823,0.642898493
ENSG00000121900,234.2044928,-0.22262085,0.154373695,0.097301563,0.242902639
ENSG00000121903,134.98959,-0.181710306,0.171908141,0.208937322,0.414288763
ENSG00000121904,874.6949108,0.23514421,0.162425716,0.090304896,0.230109022
ENSG00000121931,187.2318389,0.212656292,0.141721223,0.090213826,0.230017073
ENSG00000121940,513.9527499,0.08343557,0.112380969,0.426905249,0.64438675
ENSG00000121957,446.9096883,0.33479006,0.156455657,0.014528447,0.056826327
ENSG00000121964,401.0537787,-0.00853177,0.114851841,0.93239618,0.968398962
ENSG00000121988,105.0969469,-0.191039406,0.173327096,0.19029005,0.390461632
ENSG00000121989,209.800973,0.046926076,0.132535338,0.698549453,0.846028368
ENSG00000122008,559.8666312,0.088990743,0.101901409,0.356170754,0.577775881
ENSG00000122026,10929.70437,-0.068617432,0.090788535,0.411569717,0.63116367
ENSG00000122033,371.7637656,-0.163648482,0.112331239,0.117983336,0.280603533
ENSG00000122034,551.0360244,0.066594606,0.099991495,0.482336434,0.690984017
ENSG00000122035,944.7057962,2.266487787,0.145577519,2.44E-56,1.09E-53
ENSG00000122042,1105.299692,-0.033861974,0.115768186,0.755419669,0.87842943
ENSG00000122068,1245.270697,0.060475148,0.094498912,0.500837082,0.705876982
ENSG00000122085,392.0946484,-0.30911031,0.118225214,0.004868445,0.023453328
ENSG00000122121,380.9991594,0.274965437,0.130399538,0.020468276,0.074821919
ENSG00000122126,1271.338633,0.059631226,0.083030084,0.461844458,0.673411581
ENSG00000122140,270.18571,-0.029597813,0.120169567,0.788478498,0.896988298
ENSG00000122176,14888.26576,-0.095422143,0.098957675,0.332870925,0.555041282
ENSG00000122203,2212.291484,0.201943372,0.10594907,0.042200228,0.131005423
ENSG00000122218,7060.391933,-0.012292782,0.076483131,0.865397678,0.935387926
ENSG00000122257,1227.833802,0.041369146,0.107331978,0.658186474,0.82012634
ENSG00000122299,1459.969935,0.269075813,0.108887149,0.008380936,0.036670184
ENSG00000122335,956.1229437,-0.273828401,0.102353202,0.004464873,0.02183236
ENSG00000122359,7894.445616,0.32116666,0.088665543,0.000142666,0.001106911
ENSG00000122367,10.65530703,0.134155886,0.301940272,0.360497791,0.581251465
ENSG00000122376,446.5782514,0.351913469,0.112479464,0.00083024,0.005209322
ENSG00000122378,72.79094132,0.095959433,0.222704779,0.550850913,0.745731442
ENSG00000122386,118.0944505,-0.193955522,0.180588907,0.19307432,0.394025664
ENSG00000122390,26.7892639,-0.077499432,0.243766347,0.625771943,0.799216863
ENSG00000122406,12871.84743,0.00210525,0.081534402,0.992776594,0.996753052
ENSG00000122417,486.6218733,-0.231007542,0.109262229,0.024329863,0.086001791
ENSG00000122420,1757.658351,-0.640991401,0.137516451,5.00E-07,6.58E-06
ENSG00000122432,10.85319761,0.088548235,0.288656548,0.522809415,0.722744277
ENSG00000122435,233.9123041,-0.23629664,0.13405652,0.051002331,0.151284127
ENSG00000122477,10.77500894,0.124851078,0.301720229,0.379339528,0.600150446
ENSG00000122481,58.97078334,0.066758005,0.200316014,0.668616996,0.826237354
ENSG00000122482,651.7389606,0.107151249,0.094740228,0.236177756,0.448518828
ENSG00000122483,84.06919205,0.354115941,0.232260514,0.045966618,0.140000364
ENSG00000122484,546.6491194,-0.165167407,0.103868412,0.090166977,0.229934105
ENSG00000122490,737.3051567,0.377457897,0.106572207,0.000172376,0.001313473
ENSG00000122497,2437.140864,-0.084478688,0.090299963,0.330603093,0.552703629
ENSG00000122507,550.0137325,-0.335858766,0.122711744,0.002996813,0.015571419
ENSG00000122512,302.1705947,-0.27801324,0.123853269,0.014351397,0.05627987
ENSG00000122515,1033.591538,0.08481452,0.101154617,0.376713122,0.597584685
ENSG00000122545,8702.835188,0.229655133,0.077086217,0.002079296,0.011441643
ENSG00000122547,209.9371974,-0.042303034,0.18416156,0.779722091,0.89237072
ENSG00000122550,742.3320176,-0.048918566,0.096708589,0.595270407,0.777698786
ENSG00000122557,809.1668184,0.205555354,0.096374511,0.024242213,0.085788241
ENSG00000122565,2040.955918,0.009783439,0.091415932,0.911623029,0.958460297
ENSG00000122566,7957.961164,0.219920433,0.076393982,0.002976889,0.015487288
ENSG00000122591,3707.599773,0.111035884,0.1138199,0.28683267,0.50837835
ENSG00000122641,881.2868126,0.914836425,0.182752727,4.36E-08,6.98E-07
ENSG00000122642,6849.684613,0.045848981,0.076293114,0.531994984,0.730512258
ENSG00000122643,250.7447794,0.088775381,0.128252339,0.448598458,0.662597011
ENSG00000122644,204.4136244,-0.055329845,0.159745507,0.692803878,0.841772689
ENSG00000122674,963.3759914,0.195116354,0.106085346,0.050146746,0.149607244
ENSG00000122678,398.2811759,0.18564014,0.123057163,0.100847225,0.249837371
ENSG00000122679,10.377187,-3.37246835,1.10568713,9.20E-05,0.000748112
ENSG00000122687,322.0856576,-0.054881885,0.129088524,0.64809656,0.813662948
ENSG00000122691,420.5393721,-0.168673661,0.116840003,0.119208108,0.282786987
ENSG00000122692,1210.434628,-0.017585796,0.088524909,0.831990591,0.920085017
ENSG00000122694,1241.337944,-0.234997217,0.113042662,0.025049398,0.087760146
ENSG00000122696,231.7434844,0.130710786,0.135307898,0.285290098,0.506707456
ENSG00000122705,2259.518217,-0.111518164,0.082811073,0.166364299,0.35810401
ENSG00000122707,11522.572,-0.235493374,0.119648182,0.032199981,0.106643562
ENSG00000122729,3050.55536,0.007713004,0.08600856,0.93009375,0.966975874
ENSG00000122741,996.8276351,0.233182343,0.09690177,0.01023353,0.043099561
ENSG00000122778,228.2521603,-0.395321656,0.167444384,0.006509056,0.029840963
ENSG00000122779,271.2457718,-0.142649128,0.136985557,0.248171832,0.463552022
ENSG00000122783,385.647645,0.116970583,0.128897171,0.31883241,0.541812684
ENSG00000122786,22828.37189,0.770602838,0.106354361,3.86E-14,1.31E-12
ENSG00000122824,28.19601563,0.046553925,0.233866434,0.770967619,0.887425207
ENSG00000122861,577.5776106,-0.467303767,0.125619681,5.85E-05,0.000498107
ENSG00000122862,209.5289155,0.17577627,0.145552852,0.172047342,0.366185818
ENSG00000122863,1046.328626,0.763976751,0.146340277,2.25E-08,3.77E-07
ENSG00000122870,3961.074,-0.049304716,0.092441124,0.598510651,0.780028488
ENSG00000122873,227.4805836,-0.078722065,0.133434527,0.513305134,0.714965339
ENSG00000122877,17.09489224,-2.848221685,0.584801172,7.46E-08,1.13E-06
ENSG00000122882,455.5482114,-0.045076846,0.106642139,0.654396015,0.817674768
ENSG00000122884,2477.195355,-0.318270089,0.156386325,0.019545887,0.072290004
ENSG00000122912,300.4067807,0.069165758,0.118548483,0.52578773,0.725556916
ENSG00000122952,74.12250583,0.016929227,0.179665071,0.906254045,0.955429279
ENSG00000122958,1349.02993,0.12287176,0.097176819,0.183172698,0.380945974
ENSG00000122965,603.9560376,0.069625184,0.10035303,0.464894805,0.675813123
ENSG00000122966,289.4908018,-1.499449948,0.205200274,1.01E-14,3.62E-13
ENSG00000122970,570.2142852,0.523876156,0.109131299,4.21E-07,5.60E-06
ENSG00000122971,528.0737008,0.942876743,0.115324517,3.17E-17,1.47E-15
ENSG00000122986,54.77206445,-0.05085304,0.200094302,0.744834232,0.873100613
ENSG00000123009,31.79745619,0.03411161,0.24135659,0.83021297,0.918984175
ENSG00000123064,633.7647026,-0.043020016,0.110856244,0.682839277,0.835418258
ENSG00000123066,3100.759006,0.166865227,0.089881924,0.051751206,0.15284948
ENSG00000123080,470.8288968,-0.160107574,0.146748895,0.214351182,0.421479183
ENSG00000123091,2417.250041,0.027596408,0.08916265,0.751018045,0.875519491
ENSG00000123094,1291.890588,0.849594994,0.104889117,6.69E-17,3.02E-15
ENSG00000123095,88.94526851,-0.147178129,0.205012662,0.351960826,0.573110465
ENSG00000123096,212.607027,0.091965726,0.148530546,0.481067133,0.690028561
ENSG00000123104,207.2398396,0.786088424,0.172922096,6.59E-07,8.45E-06
ENSG00000123106,415.9252041,0.031275061,0.105756604,0.753103702,0.877026807
ENSG00000123119,68.67402889,0.270703819,0.218549932,0.108399571,0.263319567
ENSG00000123124,862.3743355,-0.02941691,0.114712609,0.780361954,0.892522418
ENSG00000123130,917.3344634,0.391624765,0.101196175,4.50E-05,0.000393303
ENSG00000123131,1508.939958,0.006708912,0.089759099,0.93787486,0.971050669
ENSG00000123136,360.3036794,0.215672269,0.115270224,0.043915214,0.135191411
ENSG00000123143,2744.127679,0.10510985,0.08096887,0.179289188,0.37602469
ENSG00000123144,1497.553387,0.14462349,0.096000257,0.111750814,0.269320338
ENSG00000123146,578.2160081,0.318603168,0.192185583,0.042061835,0.130698038
ENSG00000123154,64.09764612,0.345412756,0.224876092,0.046932465,0.142289218
ENSG00000123159,1195.235775,0.210606564,0.09803253,0.023451613,0.083717566
ENSG00000123178,190.2598064,0.628676385,0.164307151,2.40E-05,0.000227188
ENSG00000123179,348.8723282,0.452148705,0.139770391,0.000383239,0.002665647
ENSG00000123191,85.33199828,-0.051497744,0.174698121,0.724111498,0.861459098
ENSG00000123200,2926.68837,-0.083307507,0.078667631,0.286762703,0.50837835
ENSG00000123213,520.1585696,0.776574324,0.120324588,1.37E-11,3.42E-10
ENSG00000123219,41.2843793,-0.173537878,0.242593062,0.302240324,0.524922454
ENSG00000123240,5013.92148,-0.028435796,0.078802902,0.701431034,0.847477391
ENSG00000123243,13814.37189,-0.944373356,0.089684511,6.39E-27,7.02E-25
ENSG00000123268,424.1668877,0.064725411,0.108792828,0.52026583,0.720728858
ENSG00000123297,168.1931079,0.138955488,0.14230526,0.274016114,0.494677333
ENSG00000123342,617.2808554,0.380926975,0.106183996,0.000135714,0.001058916
ENSG00000123349,4043.364869,-0.038527698,0.084162241,0.631224009,0.803358409
ENSG00000123352,629.0693159,-0.563203129,0.113390429,1.59E-07,2.29E-06
ENSG00000123353,94.66841985,0.224470209,0.182675456,0.137438239,0.313055862
ENSG00000123358,180.8429384,1.175324907,0.233755099,2.75E-08,4.55E-07
ENSG00000123374,213.3218198,0.063984189,0.140827594,0.611349985,0.788955237
ENSG00000123384,82875.45974,-0.125297494,0.102136092,0.192585747,0.393372685
ENSG00000123395,260.7185892,0.243521881,0.13733185,0.04920813,0.147544376
ENSG00000123405,13.5656278,-2.498554987,0.623370052,3.90E-06,4.35E-05
ENSG00000123411,245.5717234,-0.622033085,0.135117984,8.35E-07,1.05E-05
ENSG00000123415,238.9816802,-0.073843366,0.136458256,0.546476214,0.742595534
ENSG00000123416,1385.049541,-0.736756756,0.193393888,1.50E-05,0.000147728
ENSG00000123427,138.6927829,0.049843199,0.157098133,0.71403915,0.85469352
ENSG00000123444,116.084073,0.006347297,0.161114773,0.971759809,0.98621598
ENSG00000123453,35.69268685,-0.232349118,0.277025429,0.189229712,0.389103742
ENSG00000123472,689.3776786,-0.040013397,0.096374733,0.667736468,0.825579559
ENSG00000123473,96.02638036,-0.08062332,0.179599714,0.585708652,0.770874342
ENSG00000123485,24.43062748,-0.06820767,0.249590857,0.663990893,0.823174741
ENSG00000123496,228.1842581,-0.174956168,0.150375537,0.188422223,0.38792398
ENSG00000123505,528.9767226,0.346492862,0.111340817,0.000883388,0.005499138
ENSG00000123545,139.5073741,0.180819473,0.176445296,0.219786259,0.427968176
ENSG00000123552,229.4997943,0.146621188,0.129614652,0.217320838,0.425564203
ENSG00000123560,8.030098551,-0.048445142,0.291688548,0.688050447,0.838415673
ENSG00000123562,5047.468891,1.013238706,0.0868871,2.09E-32,2.98E-30
ENSG00000123570,59.20868216,-0.272133795,0.219904111,0.107751789,0.262206554
ENSG00000123572,108.1768727,1.02299049,0.355274129,0.000196552,0.001470682
ENSG00000123575,666.6561807,0.201570846,0.105164713,0.041416528,0.129229264
ENSG00000123595,563.5184683,0.063187223,0.122650045,0.574396085,0.763339898
ENSG00000123600,519.4203753,-0.018138095,0.111244471,0.859938406,0.932963181
ENSG00000123607,408.4388015,0.202660846,0.11254017,0.053709955,0.157402509
ENSG00000123609,228.7518025,-0.348396121,0.154216272,0.010359604,0.043537095
ENSG00000123610,323.3834406,-2.405769577,0.474333798,6.38E-09,1.16E-07
ENSG00000123612,20.56537949,-1.21113306,0.453850251,0.000465545,0.003145838
ENSG00000123636,635.2759109,-0.347998832,0.111680983,0.000864547,0.005393992
ENSG00000123643,789.6416099,0.708484063,0.12099343,7.18E-10,1.49E-08
ENSG00000123684,1045.585395,0.205683867,0.094630768,0.022344958,0.080389536
ENSG00000123685,42.41107066,1.736387842,0.36600676,1.04E-07,1.54E-06
ENSG00000123689,42.24378068,-2.515186328,0.472408763,2.15E-09,4.17E-08
ENSG00000123700,839.6531992,-0.050098281,0.139265374,0.687128099,0.838169669
ENSG00000123728,545.5507419,0.005743786,0.101706398,0.952666004,0.977760206
ENSG00000123737,433.3815282,0.484115642,0.122028675,2.12E-05,0.00020299
ENSG00000123739,575.2771641,-0.038843654,0.10604183,0.697124703,0.845381919
ENSG00000123810,45.52440503,-0.156302555,0.223366609,0.342440078,0.564587278
ENSG00000123815,390.9650717,-0.223781021,0.129475411,0.057305414,0.164710885
ENSG00000123836,334.7256387,0.053001301,0.121932147,0.637927878,0.807185961
ENSG00000123870,36.8550447,0.10141845,0.224843818,0.532145369,0.730512258
ENSG00000123892,33.71105668,0.022085373,0.22624777,0.890888652,0.948303787
ENSG00000123908,402.9515994,0.497808807,0.157559155,0.000362308,0.002530668
ENSG00000123933,3311.528116,-0.213141674,0.100617531,0.02339635,0.083556235
ENSG00000123965,63.1819267,-0.002352159,0.189435058,0.984207066,0.992037684
ENSG00000123975,249.0609075,0.039912592,0.145769887,0.756574369,0.879156156
ENSG00000123983,2698.909672,-0.422214496,0.081750542,6.60E-08,1.01E-06
ENSG00000123989,2938.706921,0.251614708,0.117399929,0.020354323,0.074586077
ENSG00000123992,1751.012876,-0.072074243,0.090243592,0.404614295,0.624264602
ENSG00000123999,18.59853586,0.298598665,0.351785276,0.113200733,0.272030565
ENSG00000124006,1537.261261,0.346737848,0.097123923,0.000170097,0.001297901
ENSG00000124067,1685.550478,0.056465458,0.093239624,0.527998741,0.727131948
ENSG00000124074,246.623951,-0.017856975,0.136971115,0.885005147,0.945462067
ENSG00000124097,32.30710135,-0.07005367,0.242454013,0.656628406,0.818799686
ENSG00000124098,2803.227549,-0.027336883,0.079677501,0.729921927,0.865043835
ENSG00000124104,853.0093892,-0.765541957,0.124072856,8.72E-11,1.97E-09
ENSG00000124107,13.13033151,-0.045566549,0.272625414,0.746499188,0.873996509
ENSG00000124116,10.90506397,0.018899318,0.289109104,0.869026428,0.937003808
ENSG00000124120,866.3814417,0.218551607,0.10676404,0.029029543,0.098341355
